0,1,2,3,label
297242.38,43.61,985.13,17.44,0
316831.69,43.29,985.13,16.8,0
335188.22,43.17,985.12,16.83,0
344665.09,43.06,985.13,16.86,0
350684.94,42.71,985.12,16.99,0
363765.53,41.59,985.13,17.62,0
368876.09,41.58,985.12,17.9,0
379399.78,41.19,985.15,18.18,0
388025.78,40.4,985.12,18.52,0
398211.16,40.09,985.11,19.03,0
406510.53,39.79,985.11,19.29,0
410667.75,39.87,985.1,19.52,0
412404.34,39.68,985.09,19.57,0
415163.19,40.16,985.13,19.45,0
412903.22,40.3,985.1,19.24,0
421312.5,39.82,985.09,19.43,0
424455.97,39.99,985.11,19.52,0
426311.41,40.1,985.13,19.39,0
428183.16,39.9,985.14,19.43,0
433898.31,39.47,985.12,19.73,0
438637.81,39.44,985.12,19.91,0
442046.19,39.48,985.11,19.77,0
449319.88,38.79,985.15,20.11,0
453197.63,38.91,985.11,20.36,0
450803.44,39.29,985.15,20.2,0
449615.81,39.25,985.14,20.02,0
451101.31,39.03,985.14,20.17,0
452296.81,39.12,985.15,20.26,0
451101.31,39.41,985.15,20.09,0
459914.66,38.9,985.11,20.15,0
460224.72,39.03,985.1,20.4,0
458987.0,39.26,985.13,20.2,0
455921.63,39.28,985.14,20.15,0
460224.72,39.33,985.12,20.04,0
460224.72,39.4,985.15,20.01,0
459914.66,39.36,985.12,19.98,0
458678.63,39.36,985.12,19.98,0
460535.19,39.36,985.12,19.98,0
462406.88,39.38,985.11,20.02,0
462720.28,39.35,985.13,19.99,0
461469.13,39.25,985.12,20.03,0
466196.22,39.29,985.11,20.06,0
466833.81,39.17,985.13,20.1,0
464293.81,39.16,985.1,20.18,0
462406.88,39.36,985.1,20.15,0
461157.41,39.5,985.08,20.02,0
463663.13,39.51,985.1,19.98,0
461469.13,39.64,985.12,19.91,0
459914.66,39.81,985.13,19.76,0
458678.63,39.78,985.11,19.83,0
462093.88,39.79,985.1,19.77,0
461157.41,39.95,985.12,19.7,0
461781.28,39.96,985.11,19.5,0
460846.09,39.96,985.09,19.5,0
460846.09,40.02,985.11,19.55,0
460535.19,40.12,985.13,19.5,0
459605.03,40.07,985.13,19.38,0
458678.63,40.12,985.11,19.4,0
460535.19,40.29,985.13,19.38,0
461157.41,40.25,985.11,19.33,0
459914.66,40.31,985.12,19.33,0
459914.66,40.38,985.1,19.22,0
462406.88,40.4,985.1,19.18,0
460846.09,40.43,985.11,19.15,0
459605.03,40.45,985.09,19.07,0
461781.28,40.56,985.11,19.03,0
460224.72,40.49,985.09,19.02,0
459914.66,40.51,985.1,18.98,0
460846.09,40.53,985.1,19.0,0
462406.88,40.52,985.07,18.98,0
463348.41,40.5,985.11,19.0,0
463034.13,40.58,985.08,19.0,0
461781.28,40.66,985.09,18.95,0
461157.41,40.54,985.1,18.97,0
463034.13,40.57,985.09,18.99,0
462406.88,40.66,985.06,18.92,0
463978.25,40.65,985.06,18.85,0
461157.41,40.62,985.08,18.88,0
464609.81,40.66,985.08,18.86,0
464609.81,40.72,985.09,18.81,0
465878.06,40.65,985.07,18.88,0
467473.19,40.69,985.07,18.87,0
464609.81,40.87,985.05,18.78,0
464926.22,40.8,985.06,18.71,0
463978.25,40.78,985.07,18.76,0
464609.81,40.85,985.07,18.76,0
464926.22,40.87,985.05,18.68,0
464609.81,40.79,985.04,18.73,0
465878.06,40.85,985.04,18.74,0
464926.22,40.94,985.06,18.77,0
467473.19,40.56,985.04,19.21,0
440335.41,41.62,985.21,20.14,1
213957.38,41.64,985.23,19.33,1
149926.8,41.77,985.24,19.45,1
137375.91,41.94,985.22,19.26,1
137597.42,42.09,985.19,18.94,1
136825.23,42.17,985.19,18.75,1
136935.02,42.3,985.21,18.58,1
138042.59,42.43,985.21,18.4,1
139623.67,42.52,985.22,18.25,1
140775.36,42.59,985.24,18.12,1
142658.13,42.71,985.21,17.98,1
144347.33,42.82,985.21,17.9,1
143739.47,42.85,985.24,17.8,1
146077.03,42.95,985.22,17.72,1
147338.13,43.04,985.22,17.65,1
149140.69,43.1,985.25,17.49,1
150987.91,43.14,985.23,17.44,1
150987.91,43.23,985.23,17.35,1
153293.41,43.31,985.23,17.27,1
154542.7,43.31,985.21,17.21,1
157538.47,43.4,985.25,17.2,1
160200.25,43.46,985.21,17.07,1
161259.84,43.49,985.24,17.0,1
163892.45,43.53,985.2,17.0,1
165803.11,43.59,985.24,16.93,1
167429.69,43.64,985.21,16.86,1
169256.2,43.64,985.23,16.82,1
169930.3,43.71,985.21,16.78,1
171294.75,43.76,985.21,16.74,1
174090.45,43.75,985.19,16.68,1
175522.8,43.8,985.22,16.66,1
176247.84,43.83,985.21,16.61,1
178086.95,43.87,985.21,16.57,1
178272.98,43.87,985.2,16.59,1
178272.98,43.91,985.16,16.53,1
178459.39,43.96,985.17,16.51,1
181882.77,43.94,985.17,16.5,1
181110.72,43.98,985.17,16.49,1
184238.94,44.0,985.17,16.46,1
184637.58,44.03,985.18,16.42,1
185440.06,44.04,985.2,16.41,1
185641.77,44.06,985.2,16.39,1
185641.77,44.11,985.19,16.39,1
184837.55,44.08,985.19,16.36,1
191509.25,44.13,985.2,16.36,1
192264.36,44.16,985.2,16.34,1
193353.47,44.15,985.2,16.3,1
192589.81,44.16,985.2,16.29,1
196469.69,44.18,985.21,16.29,1
195457.14,44.23,985.19,16.26,1
197036.75,44.2,985.2,16.26,1
197836.17,44.22,985.2,16.25,1
198411.16,44.25,985.18,16.25,1
198757.77,44.23,985.18,16.23,1
198065.77,44.25,985.19,16.23,1
199804.88,44.27,985.21,16.23,1
199687.98,44.29,985.17,16.21,1
199338.14,44.27,985.19,16.24,1
199804.88,44.29,985.21,16.21,1
201455.83,44.33,985.21,16.19,1
202411.55,44.3,985.2,16.16,1
205581.2,44.32,985.22,16.16,1
203134.3,44.33,985.19,16.16,1
204106.05,44.34,985.19,16.12,1
203013.48,44.34,985.2,16.14,1
204350.42,44.34,985.2,16.12,1
206326.81,44.39,985.2,16.12,1
207329.42,44.35,985.21,16.11,1
208851.72,44.36,985.22,16.17,1
208596.45,44.37,985.2,16.02,1
209492.64,44.37,985.2,16.07,1
211964.39,44.37,985.22,16.06,1
213555.78,44.36,985.19,16.07,1
214225.94,44.4,985.16,16.04,1
216261.88,44.37,985.2,16.05,1
217087.13,44.36,985.2,16.09,1
216261.88,44.39,985.19,16.06,1
217225.28,44.37,985.2,16.03,1
219037.44,44.37,985.22,16.05,1
219318.91,44.37,985.21,16.05,1
219178.08,44.4,985.19,16.03,1
221453.28,44.38,985.21,16.05,1
221597.06,44.36,985.21,15.93,1
220167.7,44.41,985.18,16.08,1
218197.31,44.38,985.21,16.03,1
217640.81,44.38,985.2,16.04,1
215578.95,44.39,985.21,16.06,1
215578.95,44.4,985.2,16.08,1
218197.31,44.38,985.21,16.03,1
220167.7,44.36,985.19,16.03,1
220452.09,44.41,985.19,16.0,1
221023.09,44.37,985.2,16.02,1
220737.23,44.36,985.22,15.99,1
223629.61,44.37,985.18,16.02,1
223629.61,44.37,985.2,15.98,1
222174.0,44.35,985.19,16.02,1
222753.97,44.34,985.18,16.01,1
222029.48,44.39,985.18,16.0,1
222753.97,44.34,985.18,16.01,1
226749.33,44.32,985.19,16.01,1
226298.34,44.36,985.2,16.03,1
227808.67,44.34,985.2,16.0,1
226749.33,44.32,985.17,15.99,1
228877.97,44.33,985.18,16.06,1
228418.47,44.35,985.16,16.01,1
227808.67,44.33,985.18,16.03,1
227808.67,44.31,985.17,16.05,1
228724.59,44.36,985.16,16.05,1
231046.94,44.33,985.18,16.01,1
228877.97,44.31,985.16,16.01,1
229647.91,44.33,985.16,16.07,1
231831.56,44.35,985.16,16.03,1
232463.11,44.33,985.16,16.06,1
233257.41,44.31,985.15,16.07,1
234217.75,44.37,985.15,16.06,1
236325.88,44.33,985.13,16.02,1
237311.7,44.31,985.14,16.07,1
238139.53,44.35,985.15,16.06,1
237476.81,44.35,985.12,16.05,1
238973.16,44.33,985.13,16.06,1
240150.09,44.33,985.13,16.07,1
239308.25,44.38,985.1,16.05,1
238472.28,44.35,985.13,16.06,1
239140.59,44.33,985.13,16.06,1
240827.84,44.38,985.12,16.09,1
241851.67,44.36,985.13,16.01,1
241680.44,44.33,985.12,16.1,1
240827.84,44.35,985.12,16.09,1
242194.89,44.4,985.09,16.05,1
243057.2,44.37,985.1,16.06,1
243751.48,44.34,985.13,16.08,1
244800.38,44.4,985.09,16.06,1
245328.22,44.37,985.08,16.02,1
242884.25,44.34,985.14,16.09,1
245681.38,44.37,985.12,16.07,1
244274.81,44.4,985.1,16.03,1
244800.38,44.37,985.11,16.06,1
244274.81,44.35,985.13,16.04,1
245152.02,44.41,985.09,16.02,1
248001.94,44.39,985.11,16.03,1
247462.55,44.35,985.13,16.05,1
248362.84,44.39,985.07,16.07,1
248362.84,44.4,985.11,16.02,1
247462.55,44.36,985.11,16.04,1
247283.27,44.38,985.11,16.05,1
248724.8,44.43,985.1,16.05,1
248724.8,44.4,985.09,16.04,1
246568.75,44.38,985.1,16.1,1
246925.48,44.42,985.1,16.04,1
248362.84,44.41,985.07,16.01,1
247283.27,44.38,985.1,16.03,1
249087.81,44.39,985.09,16.05,1
249269.72,44.44,985.09,15.99,1
251103.48,44.4,985.09,16.01,1
252590.03,44.38,985.1,16.04,1
253716.55,44.43,985.1,15.97,1
252590.03,44.41,985.08,16.01,1
253905.28,44.38,985.1,16.02,1
253716.55,44.41,985.08,16.06,1
253905.28,44.45,985.1,15.98,1
254473.16,44.4,985.08,15.99,1
255616.58,44.4,985.08,16.02,1
254663.02,44.46,985.09,16.0,1
256770.31,44.43,985.09,16.14,1
254283.58,44.4,985.1,16.03,1
251658.89,44.44,985.09,16.01,1
254283.58,44.45,985.09,15.97,1
257934.52,44.41,985.07,15.98,1
256963.61,44.42,985.08,16.0,1
256192.14,44.48,985.09,15.98,1
258129.56,44.44,985.08,15.97,1
256963.61,44.42,985.09,15.99,1
257351.09,44.47,985.08,16.01,1
254663.02,44.48,985.08,15.99,1
254283.58,44.45,985.08,16.01,1
174446.34,40.46,985.05,19.77,2
131653.38,40.53,985.05,19.87,2
123195.38,40.57,985.05,19.53,2
121442.13,40.71,985.04,19.28,2
121355.77,40.91,985.06,18.99,2
118244.8,40.95,985.06,18.8,2
115837.1,41.08,985.06,18.66,2
116390.09,41.26,985.04,18.51,2
116231.55,41.3,985.02,18.38,2
117755.29,41.38,985.0,18.29,2
117431.2,41.54,985.03,18.17,2
120159.59,41.67,985.05,18.06,2
121269.54,41.67,985.01,18.02,2
121528.6,41.78,985.02,17.94,2
121528.6,41.94,984.98,17.83,2
123462.74,41.94,985.0,17.79,2
124725.95,42.0,984.99,17.78,2
124362.4,42.14,984.98,17.7,2
125183.38,42.21,985.0,17.58,2
125367.29,42.21,984.99,17.59,2
125091.62,42.3,985.0,17.49,2
127904.07,42.45,985.0,17.49,2
128869.88,42.4,984.98,17.43,2
130946.29,42.46,984.99,17.45,2
130745.66,42.59,984.99,17.37,2
131551.91,42.61,984.99,17.28,2
131450.58,42.61,984.99,17.3,2
131856.81,42.7,984.98,17.27,2
132573.8,42.81,984.99,17.18,2
133821.22,42.76,985.0,17.16,2
134242.27,42.83,985.0,17.17,2
134985.5,42.95,985.0,17.12,2
135737.02,42.93,985.02,17.05,2
137375.91,42.94,985.01,17.05,2
137819.66,43.04,985.0,16.99,2
137044.97,43.1,984.99,16.95,2
140543.52,43.06,985.0,16.95,2
141828.25,43.13,984.99,16.98,2
142064.38,43.24,984.99,16.88,2
142064.38,43.17,985.0,16.85,2
142420.03,43.21,984.99,16.87,2
141828.25,43.3,984.96,16.84,2
143860.64,43.31,984.97,16.82,2
144103.58,43.29,984.99,16.79,2
143016.77,43.37,984.98,16.79,2
144714.53,43.46,984.98,16.71,2
145827.41,43.39,984.99,16.73,2
145330.69,43.42,984.97,16.72,2
146831.09,43.54,984.99,16.68,2
147720.72,43.5,984.98,16.64,2
147592.97,43.48,984.98,16.66,2
148621.19,43.56,984.97,16.62,2
149926.8,43.63,984.99,16.57,2
150190.67,43.57,984.99,16.6,2
150190.67,43.61,984.99,16.58,2
150455.48,43.71,985.01,16.57,2
150588.23,43.66,985.0,16.53,2
151658.77,43.65,985.01,16.55,2
152064.16,43.74,985.02,16.53,2
152608.05,43.76,984.97,16.49,2
153155.84,43.7,984.99,16.53,2
153431.22,43.76,984.96,16.5,2
153018.53,43.85,984.97,16.51,2
153984.97,43.77,984.96,16.46,2
155104.52,43.78,984.97,16.47,2
156240.47,43.87,984.97,16.43,2
157684.02,43.86,984.99,16.44,2
157538.47,43.82,984.97,16.44,2
156097.56,43.88,984.98,16.45,2
157975.94,43.95,984.98,16.38,2
158122.3,43.87,984.97,16.37,2
157103.41,43.9,984.97,16.41,2
158268.94,43.98,984.97,16.38,2
158858.2,43.94,984.96,16.31,2
159601.0,43.93,984.98,16.34,2
160050.02,43.99,984.97,16.32,2
159750.39,44.04,984.99,16.32,2
160200.25,43.97,984.97,16.31,2
160350.77,43.99,984.94,16.36,2
161259.84,44.08,984.96,16.28,2
162333.55,44.01,984.94,16.28,2
162333.55,44.0,984.97,16.28,2
166449.94,44.08,984.95,16.32,2
166125.89,44.11,984.95,16.26,2
163735.2,44.05,984.95,16.29,2
165642.19,44.1,984.96,16.29,2
164842.23,44.17,984.95,16.25,2
166287.75,44.09,984.95,16.23,2
165642.19,44.1,984.95,16.25,2
165321.28,44.18,984.96,16.22,2
165803.11,44.16,984.94,16.22,2
167923.91,44.11,984.95,16.26,2
168255.02,44.17,984.94,16.23,2
167429.69,44.23,984.94,16.19,2
168587.42,44.14,984.93,16.19,2
169088.5,44.16,984.94,16.21,2
168421.05,44.24,984.92,16.18,2
169424.22,44.2,984.93,16.17,2
170951.59,44.18,984.94,16.2,2
170951.59,44.23,984.91,16.18,2
172332.55,44.27,984.9,16.19,2
172856.17,44.2,984.94,16.16,2
173913.05,44.22,984.92,16.23,2
174803.69,44.29,984.9,16.1,2
174803.69,44.23,984.9,16.12,2
174446.34,44.22,984.91,16.16,2
173383.0,44.28,984.88,16.17,2
173913.05,44.29,984.89,16.09,2
174624.83,44.23,984.9,16.14,2
174268.2,44.27,984.87,16.13,2
175703.5,44.32,984.9,16.12,2
176430.05,44.25,984.89,16.11,2
175703.5,44.26,984.88,16.13,2
173559.33,44.33,984.88,16.11,2
174982.91,44.31,984.89,16.12,2
175342.47,44.27,984.89,16.12,2
175342.47,44.31,984.89,16.12,2
178272.98,44.34,984.86,16.09,2
179586.11,44.28,984.87,16.08,2
180918.73,44.29,984.9,16.05,2
182271.27,44.34,984.87,16.09,2
184837.55,44.31,984.87,16.09,2
186453.02,44.27,984.86,16.11,2
192372.72,44.33,984.87,16.12,2
192807.38,44.35,984.87,16.08,2
193134.67,44.28,984.87,16.13,2
192916.36,44.31,984.88,16.08,2
192156.13,44.34,984.87,16.12,2
194123.22,44.29,984.89,16.05,2
196582.84,44.27,984.89,16.09,2
199105.58,44.31,984.87,16.09,2
199921.91,44.31,984.87,16.05,2
202531.64,44.25,984.87,16.12,2
205581.2,44.29,984.86,16.07,2
201693.91,44.32,984.86,16.12,2
207077.86,44.26,984.85,16.08,2
207581.59,44.26,984.86,16.09,2
209107.61,44.31,984.86,16.07,2
208341.81,44.3,984.85,16.04,2
210266.94,44.26,984.83,16.07,2
211439.19,44.32,984.85,16.05,2
215715.19,44.34,984.88,16.09,2
218756.67,44.27,984.84,16.06,2
220167.7,44.29,984.86,16.06,2
219601.11,44.34,984.85,16.07,2
214360.48,44.32,984.85,16.02,2
208979.59,44.3,984.84,16.04,2
205210.42,44.35,984.85,16.07,2
204840.97,44.37,984.85,16.02,2
207455.42,44.31,984.83,16.01,2
210008.2,44.34,984.83,16.0,2
210656.25,44.36,984.83,16.0,2
213155.7,44.33,984.84,16.01,2
211439.19,44.33,984.83,16.06,2
206701.66,44.38,984.83,16.01,2
204718.11,44.39,984.82,15.99,2
202171.77,44.34,984.83,15.99,2
204106.05,44.38,984.81,16.01,2
209364.14,44.4,984.82,16.05,2
209364.14,44.35,984.84,15.93,2
209879.08,44.36,984.82,16.01,2
208851.72,44.4,984.81,15.99,2
211177.56,44.39,984.82,15.95,2
211570.25,44.34,984.79,15.99,2
212492.22,44.4,984.82,16.0,2
210266.94,44.41,984.79,15.99,2
210786.33,44.36,984.8,16.03,2
212227.98,44.38,984.79,16.02,2
214360.48,44.4,984.77,15.98,2
212757.11,44.4,984.79,15.97,2
210008.2,44.37,984.78,16.0,2
209879.08,44.41,984.76,15.99,2
210526.31,44.43,984.8,15.97,2
214630.06,44.36,984.76,15.95,2
213555.78,44.39,984.76,15.97,2
213823.34,44.42,984.76,15.95,2
214360.48,44.39,984.79,15.95,2
212889.81,44.38,984.77,15.93,2
214630.06,44.41,984.75,15.96,2
213155.7,44.43,984.74,15.94,2
215035.7,44.38,984.75,15.82,2
214360.48,44.41,984.73,15.95,2
214900.31,44.42,984.73,15.93,2
216949.16,44.39,984.75,15.95,2
220737.23,44.38,984.73,15.97,2
223190.94,44.4,984.71,15.88,2
226448.47,44.4,984.72,15.95,2
225849.14,44.36,984.72,16.0,2
226598.81,44.4,984.72,15.94,2
226598.81,44.41,984.7,15.95,2
229185.31,44.35,984.7,15.89,2
227505.0,44.37,984.69,16.02,2
228877.97,44.39,984.69,15.94,2
224512.17,44.4,984.69,15.93,2
